period,forecast
1/1/70,224.3333333
2/1/70,252.6666667
3/1/70,369.3333333
4/1/70,512.3333333
5/1/70,546.3333333
6/1/70,525
7/1/70,385.3333333
8/1/70,230
9/1/70,147.3333333
10/1/70,157
11/1/70,169.6666667
12/1/70,205
1/1/71,220.7777778
2/1/71,249.8888889
3/1/71,362.4444444
4/1/71,541.7777778
5/1/71,561.7777778
6/1/71,553.3333333
7/1/71,415.7777778
8/1/71,251
9/1/71,154.4444444
10/1/71,168
11/1/71,172.2222222
12/1/71,212.6666667
1/1/72,203.037037
2/1/72,216.8518519
3/1/72,343.2592593
4/1/72,520.037037
5/1/72,558.3703704
6/1/72,572.4444444